Time,A,B,C,D
2023-04-16 19:54:55,0.220,0.250,0.225,0.825
2023-04-16 19:55:00,0.140,0.265,0.210,0.865
2023-04-16 19:55:05,0.175,0.315,0.195,0.880
2023-04-16 19:55:10,0.185,2.70,0.205,0.975
2023-04-16 19:55:15,0.195,5.21,0.165,0.935
2023-04-16 19:55:20,0.175,7.80,0.230,1.01
2023-04-16 19:55:25,0.250,10.3,0.200,1.37
2023-04-16 19:55:30,0.235,12.8,0.210,1.64
2023-04-16 19:55:35,0.190,12.9,0.225,1.59
2023-04-16 19:55:40,0.180,13.1,0.270,1.54
2023-04-16 19:55:45,0.230,13.0,0.260,1.43
2023-04-16 19:55:50,0.145,13.0,0.260,1.03
2023-04-16 19:55:55,0.180,13.1,0.270,0.810
2023-04-16 19:56:00,0.170,13.1,0.175,0.720
2023-04-16 19:56:05,0.210,13.0,0.185,0.745
2023-04-16 19:56:10,0.200,12.9,0.205,0.820
2023-04-16 19:56:15,0.240,12.9,0.195,0.840
2023-04-16 19:56:20,0.175,13.0,0.185,0.795
2023-04-16 19:56:25,0.205,13.0,0.225,0.805
2023-04-16 19:56:30,0.220,13.0,0.260,0.860
2023-04-16 19:56:35,0.195,13.0,0.190,0.810
2023-04-16 19:56:40,0.170,13.0,0.220,0.825
2023-04-16 19:56:45,0.220,12.9,0.200,0.805
2023-04-16 19:56:50,0.225,12.9,0.250,0.865

